Node_Config Probability Error
0001110001000011111011 0.000152 0.000013
1110000000000111110111 0.000158 0.000011
0110111110111000000101 0.000005 0.000023
1000000000000101110010 0.000167 0.000011
0100111011100011110010 0.000027 0.000019
1111000100111100001100 0.000023 0.000014
0001111011101011010011 0.000042 0.000002
0111101110111100000000 0.000018 0.000006
1111110011000011111110 0.000020 0.000004
1010000100011100001010 0.000183 0.000004
0101111011101011111010 0.000126 0.000012
0001011001101010011010 0.000002 0.000004
0101111011110000110101 0.000011 0.000035
0011000100011100000111 0.000018 0.000002
0101111011110000111101 0.000015 0.000002
1110000100010100101101 0.000080 0.000002
1010001100011100001100 0.000005 0.000006
1011000100111100000100 0.000133 0.000009
0100111011110011111000 0.000003 0.000002
0001000100011100000111 0.000002 0.000002
1110000100111100001111 0.000006 0.000009
1000011011000111110110 0.000024 0.000011
0000010101111100000101 0.000015 0.000039
1110100110111100001100 0.000079 0.000011
0101111011110001110000 0.000003 0.000002
0100111111111000001000 0.000197 0.000002
1010100100011100000001 0.000108 0.000009
0111111111111010001001 0.000300 0.000004
0101011011000011110111 0.000070 0.000027
1000000100000101111111 0.000011 0.000002
0101111011101011111110 0.000015 0.000048
1000000101010100001100 0.000011 0.000008
1010000101010100101100 0.000023 0.000006
0101111011110011110100 0.000082 0.000006
1110001100010100101101 0.000029 0.000009
0100111111111000000000 0.000285 0.000002
1110001110011100001110 0.000008 0.000021
1010010100101110001010 0.000006 0.000002
0001011001101011010010 0.000029 0.000004
1001010011000011111110 0.000038 0.000017
0001010001000011011010 0.000002 0.000019
1010000100111100000011 0.000045 0.000010
1010001100001110000010 0.000003 0.000035
0110111111111100001100 0.000050 0.000004
1110101110111100000000 0.000095 0.000004
0001111011000011110111 0.000088 0.000002
1000000001000111111110 0.000114 0.000002
1001110001000011111011 0.000226 0.000008
1000001000000101111010 0.000005 0.000004
0111111111111100001000 0.000003 0.000008
1111101010101011110010 0.000002 0.000031
0000001100111100000100 0.000003 0.000006
1110001000000111110011 0.000038 0.000002
0001000101111100000101 0.000009 0.000023
1010000100001100000110 0.000247 0.000002
0010000100111100000101 0.000080 0.000031
1000000100000101111011 0.000006 0.000007
0001111011101010011001 0.000002 0.000042
0110110111111000000100 0.000127 0.000002
1111101010000111111011 0.000003 0.000004
1010001000000111110111 0.000076 0.000008
1110100110111100000101 0.000050 0.000025
1011000000000111111111 0.000242 0.000002
0101110011101011111000 0.000002 0.000012
1000010001001011010010 0.000003 0.000004
1110000100010100100101 0.000085 0.000008
1010000100001110001110 0.000048 0.000004
0100111011110000010101 0.000002 0.000013
1000010001000011110110 0.000021 0.000032
0111110011101011010010 0.000003 0.000004
1110001110010101101101 0.000011 0.000006
1001000100001110100110 0.000006 0.000004
1000000000000101111110 0.000182 0.000004
1000000001000111111010 0.000126 0.000002
1010001010000111111010 0.000003 0.000030
0101111011100011110100 0.000114 0.000006
0101111011101011001110 0.000012 0.000017
1000011011000111111010 0.000029 0.000004
0111111010100011110011 0.000020 0.000006
0001111111111000000100 0.000205 0.000022
0111111011110011111100 0.000014 0.000009
1000000100111100000000 0.000068 0.000004
0111110110111000001000 0.000009 0.000028
0110001110111100001001 0.000008 0.000036
0101011011000011111111 0.000130 0.000007
0110001100111100000101 0.000194 0.000002
0001111011000011110001 0.000029 0.000026
1110001010000111111110 0.000183 0.000010
1110100100111100001000 0.000109 0.000018
1010000100010100101111 0.000027 0.000009
0110101100111100000001 0.000030 0.000008
1001110011000011111010 0.000158 0.000012
0101111011101011110011 0.000045 0.000040
0101111011101011011011 0.000315 0.000027
0101111011101011110110 0.000021 0.000004
0010001100111100001101 0.000017 0.000004
1110000100011100000001 0.000079 0.000012
0110110111111000001100 0.000098 0.000004
1010000100001110000011 0.000083 0.000004
0000110111111000000000 0.000003 0.000004
1001000100011100001100 0.000005 0.000006
1010000100001111100011 0.000015 0.000004
1110101110110101111100 0.000003 0.000010
1000000001000111111011 0.000123 0.000014
0101111011100011011001 0.000027 0.000002
1010000100010100111001 0.000006 0.000007
0110111110111100000100 0.000005 0.000006
0101111111111010000001 0.000014 0.000002
1010000100011100100000 0.000021 0.000018
1001000001010100110001 0.000002 0.000004
1001000000000101111011 0.000014 0.000002
0111111111110000011101 0.000027 0.000002
0001010001101010010110 0.000002 0.000027
1010000101010100101101 0.000067 0.000009
1001110001000011110001 0.000018 0.000006
1010010101111100001100 0.000002 0.000004
1110000100001100001011 0.000002 0.000009
0001110101111000001001 0.000103 0.000006
0101111011110001110100 0.000026 0.000006
0001110001100011111001 0.000005 0.000004
0111111011101011010010 0.000005 0.000008
0100111011000011110010 0.000012 0.000006
1010000101011100000001 0.000006 0.000026
1010000100010100100011 0.000018 0.000002
0000011011000111110110 0.000003 0.000006
0111111011110001111100 0.000011 0.000037
1000000101111100000001 0.000006 0.000004
0001110101111000001000 0.000129 0.000004
0011000100111100001001 0.000008 0.000032
0110111111111010000001 0.000030 0.000008
0111111111111010000101 0.000118 0.000008
0101110011000011111001 0.000027 0.000004
0100111011100011011000 0.000006 0.000006
1000000000000101110111 0.000342 0.000002
0001001100111100000101 0.000008 0.000041
1010100100111100001100 0.000020 0.000007
0101011011100011110011 0.000009 0.000002
1010001100111100001000 0.000005 0.000015
1001110011000011110011 0.000052 0.000006
1010000100000101110111 0.000138 0.000004
0110111111110001001101 0.000009 0.000011
0001011011101011010011 0.000006 0.000004
0011000100111100000101 0.000079 0.000002
1100011011000111111011 0.000009 0.000013
0101011011100011111010 0.000006 0.000002
1010001000000111110011 0.000032 0.000002
0111100100111100000100 0.000014 0.000002
0001110001000011011011 0.000002 0.000004
1100000000000111111010 0.000014 0.000002
1110111011000011111000 0.000002 0.000006
0001111011000011111001 0.000065 0.000007
0001011001100011011011 0.000002 0.000004
1101110001000011111010 0.000005 0.000004
0000011001101111010010 0.000002 0.000002
1100011011000111111111 0.000015 0.000002
1010000100010101101101 0.000041 0.000004
0110101110111100100101 0.000009 0.000002
1110001110111100001110 0.000011 0.000004
0111110101111000000001 0.000002 0.000008
1000011011000011111111 0.000006 0.000009
1001010001000011011010 0.000026 0.000028
0101111011101011010001 0.000012 0.000046
1000001100111100000110 0.000005 0.000020
1000000101111100000100 0.000033 0.000006
0111111110111000001001 0.000142 0.000007
0111111110111000001000 0.000133 0.000009
1000010001000011111010 0.000161 0.000002
1110000100011100000101 0.000080 0.000004
1011110000000011111011 0.000008 0.000007
0011100100111000000000 0.000009 0.000028
1110100100010101101001 0.000006 0.000013
1110101010001111110010 0.000006 0.000002
0100111011110001110101 0.000005 0.000014
1010000100000100101111 0.000018 0.000009
0110101110111100000001 0.000135 0.000013
0010001100111100000101 0.000068 0.000012
0000001101111100000100 0.000006 0.000019
0001010001101011010010 0.000029 0.000017
1001010011000011110110 0.000026 0.000002
1110001100111100001100 0.000112 0.000013
0001111011101011010010 0.000088 0.000007
1110001010000111110110 0.000114 0.000004
0001110111111000001101 0.000035 0.000006
1010000101010100000100 0.000003 0.000015
1011000100001110000110 0.000035 0.000002
0001010101111000001000 0.000009 0.000011
1101111011100011110010 0.000009 0.000004
0111001100111100000101 0.000015 0.000009
0111111011100011111000 0.000032 0.000002
1000000000000111111101 0.000003 0.000009
